"times","A_flux","inert_flux","A_concentration","AZ_concentration","A_rate","AZ_rate"
0.862,0.348087205224692,0.374398944197516,0.314263270640088,0.0184549449742623,-0.00769613824914611,-0.0446060281976708
0.863,0.347246862008787,0.373476392154544,0.313504569541671,0.0184103927885905,-0.0076776007988888,-0.0444983863760698
0.864,0.346408547080435,0.372556113343601,0.312747699917603,0.0183659481151523,-0.00765910739780323,-0.0443910036281079
0.865,0.345572255551402,0.371638102163673,0.311992657350022,0.0183216106951805,-0.00764065795108598,-0.044283879341447
0.866,0.344737982545117,0.370722353027538,0.311239437431665,0.0182773802705194,-0.00762225236397363,-0.0441770129050124
0.867,0.343905723196642,0.369808860361731,0.310488035765851,0.0182332565836237,-0.00760389054174593,-0.0440704037089934
0.868,0.343075472652649,0.368897618606513,0.309738447966453,0.0181892393775575,-0.00758557238972818,-0.0439640511448431
0.869,0.342247226071393,0.367988622215834,0.308990669657874,0.0181453283959925,-0.00756729781329479,-0.0438579546052798
0.87,0.341420978622686,0.367081865657303,0.308244696475023,0.0181015233832074,-0.0075490667178712,-0.043752113484286
0.871,0.340596725487873,0.366177343412152,0.307500524063289,0.018057824084086,-0.00753087900893779,-0.0436465271771098
0.872,0.339774461859804,0.365275049975203,0.306758148078519,0.0180142302441164,-0.00751273459203161,-0.0435411950802644
0.873,0.338954182942811,0.364374979854835,0.306017564186991,0.0179707416093895,-0.00749463337274969,-0.0434361165915286
0.874,0.33813588395268,0.363477127572952,0.305278768065393,0.0179273579265977,-0.00747657525675094,-0.0433312911099462
0.875,0.337319560116624,0.362581487664947,0.304541755400796,0.0178840789430338,-0.00745856014975982,-0.0432267180358274
0.876,0.336505206673263,0.361688054679672,0.303806521890631,0.0178409044065897,-0.0074405879575678,-0.0431223967707471
0.877,0.335692818872592,0.360796823179403,0.303073063242664,0.017797834065755,-0.0074226585860363,-0.0430183267175463
0.878,0.334882391975961,0.359907787739809,0.302341375174974,0.0177548676696159,-0.0074047719410989,-0.0429145072803307
0.879,0.334073921256044,0.359020942949914,0.301611453415925,0.0177120049678539,-0.00738692792876394,-0.0428109378644717
